Country	Age Group	Interest in Politics	Satisfied with Government	Like to Protest	Like work with political parties	Like to boycott	Like to campaign for politician	Feel like have a voice	Democracy Preferred	Otner Preferred
Afghanistan	Uner 29	1	1	3	2	7	10	5	5	9
Albania	Uner 29	1	6	1	5	7	9	2	10	5
Algeria	Uner 29	1	1	6	2	4	4	6	5	4
Angola	Uner 29	1	6	4	10	1	6	1	3	9
Argentina	Uner 29	1	10	7	4	4	4	9	8	2
Armenia	Uner 29	1	2	6	7	2	4	8	2	4
Australia	Uner 29	1	5	7	5	8	8	9	8	5
Austria	Uner 29	1	1	3	2	7	6	8	9	1
Azerbaijan	Uner 29	1	2	7	9	10	1	10	7	3
Bahrain	Uner 29	1	5	9	5	3	1	4	9	8
Bangladesh	Uner 29	1	4	3	7	7	5	9	5	6
Belarus	Uner 29	1	10	9	2	8	5	7	9	8
Belgium	Uner 29	1	1	1	5	9	2	7	9	8
Belize	Uner 29	1	9	4	4	3	9	4	1	8
Benin	Uner 29	1	6	2	5	10	1	5	6	6
Bhutan	Uner 29	1	6	3	3	2	7	3	2	8
Bolivia	Uner 29	1	9	6	2	3	8	9	8	6
Bosnia and Herzegovina	Uner 29	1	6	10	8	1	10	9	10	1
Botswana	Uner 29	1	3	2	10	6	2	5	5	3
Brazil	Uner 29	1	6	3	8	10	7	4	9	7
Bulgaria	Uner 29	1	5	1	6	6	8	7	6	9
Burkina Faso	Uner 29	1	5	4	10	1	8	7	3	6
Burundi	Uner 29	1	5	3	1	5	5	10	2	3
Cambodia	Uner 29	1	9	5	1	9	7	3	5	2
Cameroon	Uner 29	1	9	5	7	6	5	5	4	4
Canada	Uner 29	1	5	4	7	2	5	9	4	2
Central African Republic	Uner 29	1	10	8	4	2	6	10	5	9
Chad	Uner 29	1	2	9	9	9	10	3	3	6
Chile	Uner 29	1	10	4	7	8	1	5	7	5
China	Uner 29	1	4	10	2	8	1	6	7	4
Colombia	Uner 29	1	7	8	9	9	8	8	9	6
Comoros	Uner 29	1	1	5	4	5	5	4	2	5
"Congo, Dem. Rep."	Uner 29	1	5	4	8	10	3	1	8	8
"Congo, Rep."	Uner 29	1	2	7	6	3	7	3	9	5
Costa Rica	Uner 29	1	5	6	6	7	5	1	6	2
Côte d'Ivoire	Uner 29	1	8	1	2	10	9	6	3	9
Croatia	Uner 29	1	8	10	8	6	2	5	8	6
Cyprus	Uner 29	1	6	5	6	3	7	9	9	9
Czech Republic	Uner 29	1	8	8	5	3	4	1	4	2
Denmark	Uner 29	1	1	6	4	10	8	4	7	6
Djibouti	Uner 29	1	9	5	9	3	7	2	9	8
Dominican Republic	Uner 29	1	1	5	1	10	10	4	9	4
Ecuador	Uner 29	1	10	1	4	8	6	1	8	4
"Egypt, Arab Rep."	Uner 29	1	9	2	3	6	10	5	8	10
El Salvador	Uner 29	1	7	9	3	2	6	4	3	10
Estonia	Uner 29	1	5	2	7	4	10	4	5	2
Ethiopia	Uner 29	1	9	7	8	8	3	4	4	2
Finland	Uner 29	1	9	2	5	10	2	5	9	5
France	Uner 29	1	9	4	2	2	2	1	5	8
Gabon	Uner 29	1	8	1	7	9	6	2	6	8
Georgia	Uner 29	1	2	5	8	7	5	1	5	2
Germany	Uner 29	1	2	7	6	3	1	5	10	9
Ghana	Uner 29	1	9	5	2	9	5	3	7	8
Greece	Uner 29	1	10	6	10	4	4	6	5	2
Guatemala	Uner 29	1	7	3	1	8	6	6	7	9
Guinea	Uner 29	1	8	5	9	6	8	8	5	1
Haiti	Uner 29	1	5	4	5	8	9	9	3	7
Honduras	Uner 29	1	4	1	10	3	5	5	8	2
"Hong Kong SAR, China"	Uner 29	1	4	8	8	2	1	4	10	1
Hungary	Uner 29	1	9	7	5	5	7	8	1	3
India	Uner 29	1	1	3	6	3	5	1	3	2
Indonesia	Uner 29	1	6	9	7	8	5	8	2	7
"Iran, Islamic Rep."	Uner 29	1	1	7	10	6	4	6	9	9
Iraq	Uner 29	1	9	8	6	2	8	2	8	7
Ireland	Uner 29	1	3	1	6	7	1	8	5	2
Israel	Uner 29	1	5	4	10	5	9	1	6	5
Italy	Uner 29	1	2	8	5	10	2	10	4	10
Jamaica	Uner 29	1	10	1	6	7	8	3	6	6
Japan	Uner 29	1	2	3	2	6	8	9	8	2
Jordan	Uner 29	1	2	3	3	4	1	8	1	9
Kazakhstan	Uner 29	1	1	9	5	7	8	4	2	9
Kenya	Uner 29	1	9	2	9	4	3	7	6	10
"Korea, Rep."	Uner 29	1	10	6	10	5	7	6	4	1
Kosovo	Uner 29	1	9	9	6	3	7	8	9	7
Kuwait	Uner 29	1	10	2	3	6	10	6	7	7
Kyrgyz Republic	Uner 29	1	6	4	2	7	9	4	3	8
Lao PDR	Uner 29	1	3	10	3	4	1	5	5	4
Latvia	Uner 29	1	3	6	10	8	10	9	3	6
Lebanon	Uner 29	1	5	4	2	10	7	5	3	1
Lesotho	Uner 29	1	1	8	9	10	3	2	9	6
Liberia	Uner 29	1	2	6	7	4	9	4	4	5
Libya	Uner 29	1	3	8	8	1	10	4	8	3
Lithuania	Uner 29	1	8	5	2	6	9	5	5	4
Luxembourg	Uner 29	1	9	1	5	8	6	7	1	2
"Macedonia, FYR"	Uner 29	1	6	9	3	8	2	8	2	5
Madagascar	Uner 29	1	3	1	5	4	5	5	5	9
Malawi	Uner 29	1	1	4	8	9	10	8	2	2
Malaysia	Uner 29	1	9	9	2	8	5	2	1	4
Mali	Uner 29	1	8	7	2	3	2	4	1	7
Malta	Uner 29	1	5	3	10	4	1	4	4	2
Mauritania	Uner 29	1	1	1	6	4	3	2	4	8
Mauritius	Uner 29	1	1	8	6	2	5	6	5	7
Mexico	Uner 29	1	1	1	4	7	4	7	2	4
Moldova	Uner 29	1	7	6	10	4	7	8	4	6
Mongolia	Uner 29	1	8	10	8	8	10	10	10	4
Montenegro	Uner 29	1	1	5	1	2	1	10	3	6
Morocco	Uner 29	1	1	2	8	5	4	1	7	8
Mozambique	Uner 29	1	10	4	7	7	6	9	5	6
Myanmar	Uner 29	1	9	1	1	9	6	6	1	4
Namibia	Uner 29	1	1	8	4	4	3	3	4	9
Nepal	Uner 29	1	4	10	7	5	7	9	1	10
Netherlands	Uner 29	1	6	9	3	1	10	6	5	6
New Zealand	Uner 29	1	5	7	9	4	7	5	7	9
Nicaragua	Uner 29	1	3	2	1	2	2	10	3	5
Niger	Uner 29	1	3	3	7	2	4	10	10	7
Nigeria	Uner 29	1	2	5	4	10	2	1	10	3
Norway	Uner 29	1	8	9	10	6	8	2	10	8
Oman	Uner 29	1	3	10	8	3	3	10	1	1
Pakistan	Uner 29	1	1	7	3	10	2	6	3	8
Panama	Uner 29	1	5	9	5	5	3	7	7	7
Paraguay	Uner 29	1	2	10	3	8	8	4	4	5
Peru	Uner 29	1	2	7	2	3	8	9	7	2
Philippines	Uner 29	1	10	3	7	1	8	3	8	6
Poland	Uner 29	1	7	4	4	6	3	9	6	3
Portugal	Uner 29	1	10	1	4	10	10	1	5	5
Puerto Rico	Uner 29	1	4	4	9	1	4	6	10	3
Qatar	Uner 29	1	1	3	7	7	7	7	1	1
Romania	Uner 29	1	10	7	5	8	8	2	6	7
Russian Federation	Uner 29	1	8	6	6	2	8	6	9	10
Rwanda	Uner 29	1	6	4	1	5	4	7	3	3
Saudi Arabia	Uner 29	1	2	5	8	2	8	7	6	6
Senegal	Uner 29	1	6	10	4	6	7	8	3	8
Serbia	Uner 29	1	1	8	5	3	8	3	3	5
Sierra Leone	Uner 29	1	5	8	1	5	9	7	9	8
Singapore	Uner 29	1	1	5	10	2	7	3	7	7
Slovak Republic	Uner 29	1	9	6	3	4	10	9	1	6
Slovenia	Uner 29	1	5	7	5	10	6	1	1	6
Somalia	Uner 29	1	1	3	4	8	6	6	3	9
South Africa	Uner 29	1	8	2	3	9	2	10	3	9
South Sudan	Uner 29	1	1	4	4	1	4	8	9	5
Spain	Uner 29	1	7	9	4	8	9	3	5	8
Sri Lanka	Uner 29	1	8	1	8	2	9	4	2	7
Sudan	Uner 29	1	3	1	8	2	8	8	1	3
Swaziland	Uner 29	1	4	1	3	9	1	8	3	3
Sweden	Uner 29	1	6	6	7	7	10	8	5	4
Switzerland	Uner 29	1	1	2	9	6	2	2	9	3
Syrian Arab Republic	Uner 29	1	8	10	3	7	3	9	3	5
Tajikistan	Uner 29	1	7	4	4	9	9	4	2	7
Tanzania	Uner 29	1	4	4	8	4	1	9	7	2
Thailand	Uner 29	1	2	5	8	8	9	9	4	4
Togo	Uner 29	1	1	10	5	5	7	5	5	9
Trinidad and Tobago	Uner 29	1	5	5	7	2	2	6	10	3
Tunisia	Uner 29	1	10	10	1	3	10	2	6	10
Turkey	Uner 29	1	2	4	9	4	3	10	10	7
Turkmenistan	Uner 29	1	4	9	9	5	6	2	4	2
Uganda	Uner 29	1	9	10	4	4	7	3	4	3
Ukraine	Uner 29	1	1	7	3	7	1	6	4	10
United Arab Emirates	Uner 29	1	1	10	1	7	6	6	4	4
United Kingdom	Uner 29	1	6	3	8	3	3	3	3	7
United States	Uner 29	1	3	7	10	8	6	10	9	10
Uruguay	Uner 29	1	9	8	6	1	10	4	2	9
Uzbekistan	Uner 29	1	10	8	2	5	9	5	8	6
"Venezuela, RB"	Uner 29	1	4	6	9	8	7	5	10	4
Vietnam	Uner 29	1	9	7	1	4	2	4	8	3
West Bank and Gaza	Uner 29	1	6	3	3	2	4	1	3	5
"Yemen, Rep."	Uner 29	1	3	3	9	9	4	6	2	8
Zambia	Uner 29	1	2	3	5	2	3	2	3	1
Zimbabwe	Uner 29	1	7	4	8	2	8	8	7	2
"Taiwan, China"	Uner 29	1	6	4	2	9	10	8	5	7
Afghanistan	29-38	1	6	7	1	8	7	1	7	4
Albania	29-38	1	7	7	4	2	1	7	4	2
Algeria	29-38	1	9	6	3	2	10	7	5	9
Angola	29-38	1	9	5	6	4	1	1	6	1
Argentina	29-38	1	1	6	6	7	3	2	1	10
Armenia	29-38	1	2	1	1	6	4	6	4	4
Australia	29-38	1	1	6	7	7	10	3	10	9
Austria	29-38	1	5	2	3	3	9	4	3	8
Azerbaijan	29-38	1	2	10	6	10	4	2	1	6
Bahrain	29-38	1	3	3	4	7	4	6	8	2
Bangladesh	29-38	1	9	3	1	4	5	1	4	10
Belarus	29-38	1	4	2	9	3	7	1	6	9
Belgium	29-38	1	7	5	9	1	2	8	3	7
Belize	29-38	1	1	6	8	8	7	4	9	3
Benin	29-38	1	8	2	7	7	10	9	7	4
Bhutan	29-38	1	7	10	6	10	5	9	10	10
Bolivia	29-38	1	8	1	7	9	1	7	2	8
Bosnia and Herzegovina	29-38	1	4	4	6	3	5	4	9	2
Botswana	29-38	1	3	5	1	6	8	7	3	6
Brazil	29-38	1	2	5	7	1	3	3	2	10
Bulgaria	29-38	1	9	9	2	10	7	9	10	7
Burkina Faso	29-38	1	6	10	1	6	5	10	3	2
Burundi	29-38	1	2	7	3	7	6	1	5	3
Cambodia	29-38	1	2	5	4	2	2	9	6	5
Cameroon	29-38	1	9	7	3	5	9	2	3	6
Canada	29-38	1	4	10	9	1	4	9	1	3
Central African Republic	29-38	1	7	6	10	3	2	4	3	6
Chad	29-38	1	8	3	3	8	5	9	2	2
Chile	29-38	1	2	1	3	2	3	7	10	8
China	29-38	1	8	6	2	10	8	5	2	10
Colombia	29-38	1	8	1	1	3	9	8	4	9
Comoros	29-38	1	3	10	7	9	7	6	5	10
"Congo, Dem. Rep."	29-38	1	9	6	10	6	7	4	3	9
